,Gen,Price,Mismatch,LogP,Num_TF,Num_VI,Num_NT,Mean_TF,Mean_VI,Mean_NT,Mean_W,Wealth_TF,Wealth_VI,Wealth_NT,MeanF,Div,RDiv,Rep
0,0,2.0,8.10734638867212,0.3010299956639812,52,41,7,6.019230769230769,15.609756097560975,15.857142857142858,24.413747612752932,27.74351901848798,22.990558891784527,8.014122535821691,-0.07441668537323738,0.9966677787429897,-0.9024144972778176,0
1,1,2.1859715443062067,0.019834177768437655,0.3396445042599656,56,44,0,6.017857142857143,15.522727272727273,0.0,30.11674420201729,38.8673896944487,18.97955902983182,0.0,-0.12718101773150406,0.9951291921052227,-0.4292243710250449,7
2,2,2.254344138481027,0.08505681333005555,0.35302021429880776,83,13,4,5.855421686746988,15.76923076923077,15.0,30.963212573208526,37.30507538940786,0.0,0.0,-0.18182412336084308,0.9946008069351975,-0.16127345699694584,44
3,3,3.7379460754270992,0.060864003874691264,0.5726330318439438,92,6,2,5.793478260869565,16.5,14.5,54.46498518357901,59.20107085171632,0.0,0.0,-0.36617081937029844,0.9956814149093326,0.26666239483343174,17
4,4,7.07330453922321,-0.005175825854077942,0.8496223569170179,95,5,0,5.768421052631579,16.2,0.0,91.72677694348346,96.55450204577205,0.0,0.0,-0.6578346633703654,0.998472195965046,0.7207821919900566,8
5,5,12.88931169264189,-0.01361612566182302,1.1102297260369618,96,4,0,5.71875,15.75,0.0,149.24762415607836,155.4662751625816,0.0,0.0,-1.1073428813852129,1.0039630870675997,1.4341845304563574,5
6,6,21.900485632110215,-0.006055291102352811,1.3404537452057486,99,0,1,5.767676767676767,0.0,18.0,233.37752671024387,235.7348754648928,0.0,0.0,-1.7636451274407967,1.0041141872978425,0.019027933535215487,4
7,7,36.37774336545666,0.0054399137999645575,1.5608357548064384,100,0,0,5.65,0.0,0.0,363.47321513456023,363.47321513456023,0.0,0.0,-2.778123705174358,0.9927907741384495,-3.0044099778037365,1
8,8,58.074725304511915,-8.27023072247357e-06,1.763987164248996,73,20,7,5.945205479452055,15.05,14.142857142857142,548.9166148917229,751.9405683448259,0.0,0.0,-4.223288913015143,0.9952900953882716,0.6452684031742422,45
9,9,59.40363922139125,0.010857660500604993,1.7738130518053532,84,15,1,5.9523809523809526,15.933333333333334,15.0,570.0557688866976,678.6378201032114,0.0,0.0,-4.357010642277884,0.9932483354701153,-0.5635468446922595,27
10,10,65.29601772951418,0.0025746288366548242,1.8148866953511071,92,7,1,6.141304347826087,15.714285714285714,11.0,632.9826266955222,688.0245942342633,0.0,0.0,-4.820011571158418,0.992405605134485,-0.24527273151462836,16
11,11,58.223070452111024,-1.5957556271928297e-05,1.7650951046625125,96,4,0,6.25,14.75,0.0,579.2344209299393,603.3691884686867,0.0,0.0,-4.357023526257451,0.9983272678574292,1.5579224479847325,8
12,12,29.111535226055512,-38.27165063710095,1.4640651089985315,100,0,0,6.22,0.0,0.0,327.2076029734658,327.2076029734658,0.0,0.0,-2.330281738475126,1.001393625004595,0.7918495539162438,4
13,13,16.835674446482358,-0.005784436461198084,1.2262305191511054,86,13,1,6.372093023255814,15.923076923076923,18.0,221.282313168124,257.30501531177214,0.0,0.0,-1.4752836983462863,0.9975825346430612,-1.0277080894224357,45
14,14,10.736616298582964,0.03394824227190263,1.0308674327235503,92,8,0,6.315217391304348,14.875,0.0,181.3875141276102,197.16034144305456,0.0,0.0,-1.1482487535309078,0.9984565860241292,0.21102103648081383,14
