,Price,Dividends,Volume,NT_cash,NT_lending,NT_loan,NT_nav,NT_pnl,NT_signal,NT_stocks,VI_cash,VI_lending,VI_loan,VI_nav,VI_pnl,VI_signal,VI_stocks,TF_cash,TF_lending,TF_loan,TF_nav,TF_pnl,TF_signal,TF_stocks
0,102.55,0.003983,961837,10000785849.41,0.0,-9960782706.02,80003143.39,3143.39,101.885,40000000.0,10000785849.41,0.0,-9970783491.87,60002357.54,2357.53,103.424,30000000.0,10000785849.41,0.0,-9970783491.87,30002357.54,-29997642.46,0.0,0.0
1,114.37,0.00404376,1061112,10020069430.99,0.0,-9960785849.26,81021515.43,1021515.43,101.913,21737933.7,9951428860.55,0.0,-9970785849.05,60761121.95,761121.95,102.47,80118110.45,10060559256.53,-30071044.15,-9940783492.5,89704719.88,29704719.87,0.0,0.0
2,115.22,0.00400644,151464,10039361105.24,0.0,-9961807444.54,82507825.99,2507825.98,100.534,4954165.29,9993734860.14,0.0,-9971547029.86,69240906.35,9240906.34,101.888,47053076.07,10002430700.22,0.0,-9970490545.85,59991913.01,-8086.99,0.0,28051758.64
3,113.2,0.00398368,56803,10039796959.87,0.0,-9964315466.62,80036831.17,36831.17,99.8323,4555337.92,9985003183.41,0.0,-9980788662.06,60349935.79,349935.78,101.841,56135414.44,10010737334.01,0.0,-9970482459.21,60218122.44,218122.43,0.0,19963247.64
4,112.18,0.00398186,11788,10036984782.0,0.0,-9964352300.51,79920071.09,-79928.9,102.464,7287589.6,9988184936.04,0.0,-9981138624.56,59018016.28,-981983.71,102.274,51971704.8,10010370548.26,0.0,-9970700598.35,59650655.51,-349344.49,0.0,19980705.6
5,112.23,0.00399877,21148,10037716327.81,0.0,-9964272366.23,80013783.28,13783.28,102.619,6569821.7,9988550829.15,0.0,-9980156564.39,60505801.06,505801.06,101.372,52111536.3,10010673151.41,0.0,-9970351226.9,60166566.51,166566.5,0.0,19844642.0
6,113.21,0.00396351,49398,10038903263.06,0.0,-9964286150.31,80003254.91,3254.9,101.789,5386142.16,9987547363.9,0.0,-9980662405.14,60024965.92,24965.92,101.631,53140007.16,10010492480.96,0.0,-9970517805.99,60009525.65,9525.64,0.0,20034850.68
7,112.74,0.00397364,20548,10036099021.24,0.0,-9964289404.57,80047002.69,47002.68,100.956,8237386.02,9990110818.41,0.0,-9980687372.1,60466099.38,466099.38,101.335,51042653.07,10010736043.15,0.0,-9970527331.74,60175672.32,175672.32,0.0,19966960.91
8,112.54,0.00396206,19955,10035093026.84,0.0,-9964336410.26,79966008.96,-33991.04,100.92,9209392.38,9991268962.58,0.0,-9981153507.73,59789938.99,-210061.0,101.123,49674484.14,10010586675.35,0.0,-9970703017.54,59917781.29,-82218.71,0.0,20034123.48
9,112.15,0.00395378,13572,10036202521.06,0.0,-9964302416.59,80017727.21,17727.2,100.423,8117622.74,9990355447.85,0.0,-9980943430.22,60121528.77,121528.77,100.821,50709511.14,10010716503.16,0.0,-9970620793.08,60046576.2,46576.2,0.0,19950866.12
10,111.95,0.00394195,4668,10036962570.1,0.0,-9964320144.98,79972212.67,-27787.32,98.4143,7329787.55,9989707605.81,0.0,-9981064967.77,59825991.49,-174008.5,100.608,51183353.45,10010607064.23,0.0,-9970667372.74,59931550.49,-68449.5,0.0,19991859.0
11,111.64,0.00393363,6301,10036728915.59,0.0,-9964292355.8,80014679.19,14679.18,100.302,7578119.4,9990142663.05,0.0,-9980890946.1,60082838.35,82838.35,101.065,50831121.4,10010675985.2,0.0,-9970598918.36,60032826.04,32826.03,0.0,19955759.2
12,110.85,0.00395152,38045,10037080093.99,0.0,-9964307035.95,79979308.4,-20691.59,100.219,7206250.36,9989880511.7,0.0,-9980973790.61,59861003.33,-138996.67,100.552,50954282.24,10010589712.1,0.0,-9970631746.94,59945432.56,-54567.43,0.0,19987467.4
13,111.71,0.00393146,32248,10039204046.84,0.0,-9964286343.33,79969913.96,-30086.04,98.5998,5052210.45,9988020152.74,0.0,-9980834783.68,59778705.81,-221294.18,100.257,52593336.75,10010541014.5,0.0,-9970577175.65,59913291.65,-86708.35,0.0,19949452.8
14,111.5,0.00391993,6374,10037426068.57,0.0,-9964256254.96,80069023.21,69023.2,97.8959,6899209.6,9989882489.07,0.0,-9980613472.29,60629141.51,629141.5,100.722,51360124.73,10010794142.85,0.0,-9970490460.84,60241347.68,241347.67,0.0,19937665.67
