,Price,Dividends,Volume,NT_cash,NT_lending,NT_loan,NT_nav,NT_pnl,NT_signal,NT_stocks,VI_cash,VI_lending,VI_loan,VI_nav,VI_pnl,VI_signal,VI_stocks,TF_cash,TF_lending,TF_loan,TF_nav,TF_pnl,TF_signal,TF_stocks
0,104.86,0.0100014,812035,10000785849.41,0.0,-9958782548.85,84003300.56,3300.56,97.5783,42000000.0,10000785849.41,0.0,-9967783256.11,66002593.3,2593.29,99.0529,33000000.0,10000785849.41,0.0,-9975783884.79,25001964.62,-24998035.38,0.0,0.0
1,113.23,0.00990529,859949,10017936840.4,0.0,-9958785849.11,86042548.01,2042548.01,97.0088,26891556.72,9957782320.33,0.0,-9967785849.32,67600420.93,1600420.93,97.5389,77603949.92,10051388387.37,-25850506.64,-9950783885.32,74753995.41,24753995.4,0.0,0.0
2,106.43,0.00975389,181967,10029946101.4,0.0,-9960828557.62,86149826.84,2149826.84,96.6538,17032283.06,9995846414.81,0.0,-9969386395.08,72204600.04,6204600.04,97.9549,45744580.31,10003386030.05,0.0,-9975539825.61,49991841.07,-8158.92,0.0,22145636.63
3,105.3,0.00979549,147156,10032730612.72,0.0,-9962978552.56,82978648.41,-1021351.59,95.2766,13226588.25,9985221314.52,0.0,-9975591482.67,63255438.79,-2744561.21,97.1936,53625606.94,10011242013.55,0.0,-9975531666.97,48680651.39,-1319348.6,0.0,12970304.81
4,105.94,0.00971936,43933,10029327682.45,0.0,-9961957121.3,84871737.05,871737.04,97.0879,17501175.9,9995647617.43,0.0,-9972846705.99,68153726.74,2153726.73,96.9072,45352815.3,10009260793.13,0.0,-9974212215.29,51169586.64,1169586.64,0.0,16121008.8
5,104.88,0.00969072,26872,10031641726.23,0.0,-9962828926.81,84108098.8,108098.79,98.376,15295299.38,9994130174.37,0.0,-9975000601.24,66279547.35,279547.35,97.1806,47149974.22,10008471483.05,0.0,-9975381893.2,50099316.25,99316.25,0.0,17009726.4
6,105.01,0.00971806,92189,10032854165.2,0.0,-9962937033.3,83848447.18,-151552.81,97.6695,13931315.28,9992683568.98,0.0,-9975280170.21,65532411.25,-467588.75,97.5181,48129012.48,10008712918.64,0.0,-9975481217.01,49831373.87,-168626.13,0.0,16599672.24
7,105.57,0.00975181,41135,10028164163.92,0.0,-9962785469.39,84168238.84,168238.84,97.1016,18789544.31,9997964595.1,0.0,-9974812545.46,66527480.24,527480.24,97.4657,43375430.6,10008909134.79,0.0,-9975312577.76,50189082.12,189082.11,0.0,16592525.09
8,105.67,0.00974657,44198,10026013273.2,0.0,-9962953720.61,84101764.99,101764.98,97.2212,21042212.4,10000128544.59,0.0,-9975340066.92,66235470.81,235470.81,97.4163,41446993.14,10008903391.0,0.0,-9975501674.62,50090010.84,90010.84,0.0,16688294.46
9,105.49,0.00974164,21340,10028325449.59,0.0,-9963055492.61,84022049.51,22049.51,96.9808,18752092.53,9997796564.16,0.0,-9975575555.42,66042886.09,42886.09,97.3652,43821877.35,10008930506.1,0.0,-9975591691.69,50017344.53,17344.53,0.0,16678530.12
10,105.47,0.00973652,7455,10029451684.86,0.0,-9963077543.34,83969873.52,-30126.48,95.5952,17595732.0,9996678313.9,0.0,-9975618444.79,65929302.18,-70697.82,97.7256,44869433.07,10008929828.46,0.0,-9975609037.05,49973126.34,-26873.65,0.0,16652334.93
