,Gen,Price,Mismatch,Dividends,RDividend,Volume,Rep,Pos+,Pos-,NegW_per,Num_NT,Num_VI,Num_TF,Mean_NT,Mean_VI,Mean_TF,WShare_NT,WShare_VI,WShare_TF,NT_cash,NT_lending,NT_loans,NT_nav,NT_pnl,NT_signal,NT_stocks,NT_returns,VI_cash,VI_lending,VI_loans,VI_nav,VI_pnl,VI_signal,VI_stocks,VI_returns,TF_cash,TF_lending,TF_loans,TF_nav,TF_pnl,TF_signal,TF_stocks,TF_returns,MeanReturn,Spoils,TimeA,TimeB,TimeC,TimeD,TimeE,TimeF,TimeG,TotalTime,PerSpoils,NT_MonReturns,VI_MonReturns,TF_MonReturns,AvgMonReturn
0,0.0,103.77,-2787.887279074057,0.003946209819046163,-0.39369917681323624,1225231.448570376,0.0,49999999.99999997,0.0,0.0,45.0,16.0,39.0,100.18737425936514,100.18737425936503,6.230769230769231,39.220424308078826,15.602950018141563,45.1766256737796,56910787.6894424,0.0,0.0,101727062.10397606,191239.68669096197,102.44018432002554,45075083.620981365,1.0018838637978782,54029670.64199222,0.0,-12108397.468430687,113821279.35829689,207093.9697791785,100.18737425936503,47962647.47784511,1.0018227826839665,40598305.00610775,0.0,-33593277.442332976,135202870.01090398,243006.00057900028,0.0021735113545667192,61351766.087443985,1.0018005702618549,1.0018416063406033,0.0,0.00011187499999998352,1.9084000000058055e-05,1.2499999990644994e-07,0.0002402499999999419,0.0014830829999999962,0.0002627499999999783,0.0006779160000000006,0.002795082999999865,0.0,-0.006033851929942435,0.0018227826839665173,-0.00028777534844182107,-0.0025358205249317632
1,1.0,104.15,4257.27263060445,0.0039651639202331465,0.7562026903386377,1201358.4895579154,0.0,49999999.99999999,0.0,0.0,45.0,16.0,39.0,99.94285840859995,99.94285840859995,6.230769230769231,39.22142554351536,15.601961464417695,45.17661299206694,57779587.62222803,0.0,0.0,101985871.31042379,258809.20644771986,102.11030032595221,44375328.27649851,1.0025445910338882,54926340.75954194,0.0,-12108397.468430687,114100715.58826803,279436.2299711108,99.94285840859995,47245592.09951533,1.002455043833161,39238158.87814282,0.0,-33593277.442332976,135543348.53588465,340478.52498069097,0.00850813416230435,62940532.15295695,1.002518258069529,1.0025199936256717,0.0,8.07919999999962e-05,1.841700000004831e-05,0.00017212499999996744,0.00023529099999997083,0.0012584580000000178,0.00026366700000002297,0.0006203339999999447,0.0026490839999999682,0.0,-0.00511225898400014,0.0024550438331609747,-0.0003829065295632983,-0.0020570430760239932
2,2.0,104.89,-3652.5079613884736,0.003942376911561969,-0.9185446474167337,991861.4413683832,0.0,49999999.99999997,0.0,0.0,45.0,16.0,39.0,100.42289549179067,100.42289549179054,6.230769230769231,39.221418878045675,15.600660505294671,45.17792061665962,58137509.61124769,0.0,0.0,102154915.89872657,169044.58830278317,102.71133659947894,44336672.38305465,1.0016577220284097,55500455.00798058,0.0,-12108397.468430687,114280330.32748795,179614.73921991885,100.42289549179054,47011133.44078792,1.0015741771494933,38599789.10350022,0.0,-33593277.442332976,135771968.47343275,228619.93754803293,0.016991908012276086,64030041.223331645,1.001686675486972,1.0016556466966224,0.0,7.904199999997363e-05,1.912500000000872e-05,0.00020762500000004458,0.00023766700000005248,0.001447499999999935,0.00026362499999998956,0.0006247079999999183,0.0028792919999999222,0.0,-0.004475119908290082,0.001574177149493261,-0.0004367574421473286,-0.0019322710172490732
3,3.0,105.18,5334.194021152565,0.003917494177537663,-1.0082048053131718,1320524.8121837596,0.0,50000000.000000015,0.0,0.0,45.0,16.0,39.0,99.84578507810005,99.84578507810009,6.230769230769231,39.21886548579444,15.5972626589601,45.18387185524542,58852407.72948664,0.0,0.0,102474181.99430233,319266.095575777,102.36194645718034,43748321.03968711,1.003125579553457,56675884.64765192,0.0,-12108397.468430687,114619985.91719915,339655.589711234,99.84578507810009,45969641.29381204,1.0029721264257634,37302798.803187735,0.0,-33593277.442332976,136223107.76916483,451139.2957320504,0.018912343708367783,65507981.85930996,1.0033227385429446,1.0031779190589263,0.0,8.041699999994378e-05,1.870800000003392e-05,0.00011212500000001846,0.00024554099999996026,0.0012729160000000128,0.00026333300000003224,0.0006197080000001076,0.002612748000000109,0.0,-0.0031479242350578307,0.0029721264257633884,-0.0005259472910230656,-0.0011461451211528773
4,4.0,105.06,-1437.1099247302045,0.003902031238724372,-0.6328589479504723,801601.844419883,0.0,49999999.99999997,0.0,0.0,45.0,16.0,39.0,99.21559771416234,99.21559771416234,6.230769230769231,39.21761757361559,15.595732353860823,45.18665007252357,59033587.121996224,0.0,0.0,102600728.76917376,126546.7748714,102.03093846771293,43521187.99539285,1.001234937087148,57294661.044366114,0.0,-12108397.468430687,114753923.40989469,133937.49269548059,99.21559771416234,45302374.08822588,1.001168535239502,36849988.94030138,0.0,-33593277.442332976,136404058.10483062,180950.33566584266,0.01605773699279483,65889962.94347966,1.0013283280247942,1.0012607352572067,0.0,7.941700000002605e-05,1.91669999999311e-05,0.00011241600000000407,0.00023245900000001818,0.0012513750000000545,0.00026383400000007384,0.0006193329999999442,0.002578001000000052,0.0,-0.002663222926717057,0.001168535239502111,-0.0005410584989877787,-0.0012224974933075716
5,5.0,104.65,1749.9957522451004,0.0039410166276474725,1.5797617635948842,877739.9459690482,0.0,50000000.000000015,0.0,0.0,45.0,16.0,39.0,98.82397882533918,98.82397882533927,6.230769230769231,39.21872794767445,15.59656906433292,45.18470298799267,58912157.11503652,0.0,0.0,102554775.11738908,-45953.651784653135,101.65331049341286,43476750.09661617,0.9995521106534323,57150036.76892365,0.0,-12108397.468430687,114705432.60102266,-48490.808872014284,98.82397882533927,45274177.08642911,0.9995774365927446,37059584.17052867,0.0,-33593277.442332976,136333229.326114,-70828.77871661843,0.009176611132980565,65427164.41716427,0.9994807447205608,0.9995283300899024,0.0,7.966699999994997e-05,1.8999999999991246e-05,0.00011595799999997158,0.0002351250000000027,0.0012713750000000745,0.0002642919999999993,0.000628666,0.0026140829999999893,0.0,-0.0028619679438147694,-0.0004225634072554385,-0.0005416140134466563,-0.0015667251851217124
6,6.0,104.83,5462.008104311011,0.00395690612128499,0.6337643058781399,1162592.6202562791,0.0,49999999.99999997,0.0,0.0,45.0,16.0,39.0,99.81133413177537,99.81133413177537,6.230769230769231,39.22230776455609,15.59972228418106,45.17796995126284,58168081.154067844,0.0,0.0,102388907.2116527,-165867.9057363785,102.59267846086996,44299587.12712516,0.9983826078297839,56167136.903276235,0.0,-12108397.468430687,114532611.32378341,-172821.27723920345,99.81133413177537,46338927.204730354,0.9984933470602012,38331545.748389386,0.0,-33593277.442332976,136080026.03002596,-253203.2960881117,0.008303462111004523,64271685.74368414,0.9981427579742234,0.9983067846629821,0.0,8.5208999999975e-05,1.9041000000052932e-05,0.00011854200000005477,0.0002358749999999965,0.0012659999999999894,0.00026412499999994843,0.0006247500000000628,0.0026135420000000797,0.0,-0.0036698046350934765,-0.0015066529397987916,-0.0005641228936850151,-0.002112484484697027
7,7.0,105.06,1954.0483987406478,0.0039533909453167,-0.14729177718359185,698803.1621242546,0.0,49999999.99999998,0.0,0.0,45.0,16.0,39.0,100.21375607222409,100.21375607222421,6.230769230769231,39.22110546565717,15.598393212988066,45.1805013213548,58050570.84111259,0.0,0.0,102467668.28119299,78761.06954028441,103.02533547113144,44518270.64512099,1.0007692822665586,55978401.65534237,0.0,-12108397.468430687,114614461.57643725,81850.2526538372,100.21375607222421,46633307.38746949,1.0007146458262655,38554731.73493378,0.0,-33593277.442332976,136196508.9344065,116482.90438058284,0.007048598678393447,64193459.0453857,1.0008559939113029,1.000794357977562,0.0,7.983300000002913e-05,1.841699999993729e-05,0.00011687500000001627,0.0002362079999999045,0.0012505000000000432,0.0002635420000000055,0.0006199580000000315,0.0025853329999999675,0.0,-0.0032475742740520896,0.0007146458262654587,-0.0005504091319148419,-0.0015617246525677553
8,8.0,105.02,4046.6460946913576,0.003994992091236978,1.6641906802169386,685749.9584843986,0.0,49999999.999999955,0.0,0.0,45.0,16.0,39.0,100.1247297025708,100.12472970257087,6.230769230769231,39.2201439568468,15.59698820177034,45.182867841382915,57968770.86103347,0.0,0.0,102568841.4862336,101173.20504060455,103.03033744430431,44587117.26621212,1.0009873981213717,55990751.09447359,0.0,-12108397.468430687,114720106.51124257,105644.93480527401,100.12472970257087,46607197.672898784,1.0009217417536342,38654270.94763115,0.0,-33593277.442332976,136341468.2226525,144959.2882459775,0.004310944792545821,64073450.26292499,1.0010643491284654,1.0010069039953005,0.0,8.1208999999971e-05,1.8458999999970693e-05,0.00011370799999999015,0.000232666000000048,0.0012564579999999603,0.00026724999999994115,0.0006275829999999871,0.0025973329999998684,0.0,-0.002808307510463126,0.000921741753634242,-0.0005224521533043758,-0.0013200160389156346
9,9.0,105.59,3200.913667244342,0.0040050409997456704,0.39303536892560653,805666.4350842106,0.0,50000000.0,0.0,0.0,45.0,16.0,39.0,101.17833243202496,101.178332432025,6.230769230769231,39.2205277636011,15.597239777079785,45.18223245931911,57460150.76396865,0.0,0.0,102555888.12724559,-12953.358988010552,104.25962010061363,45341735.442541495,0.9998737071153948,55560361.58072185,0.0,-12108397.468430687,114706346.23580307,-13760.275439500809,101.178332432025,47294548.01030222,0.9998800534983977,39427944.69300063,0.0,-33593277.442332976,136320998.65288904,-20469.569763382275,0.008087504910503984,63651516.33130247,0.9998498636085551,0.9998654235690076,0.0,8.045800000000547e-05,1.8957999999957842e-05,0.00012287499999996676,0.00023525000000002017,0.0014417089999999577,0.0002644170000000168,0.0006235840000000659,0.0027872509999999906,0.0,-0.0028925571501444702,-0.00011994650160229714,-0.0005274089996240017,-0.0015265316676747397
