,Gen,Price,Mismatch,Dividends,RDividend,Volume,Rep,Pos+,Pos-,NegW_per,Num_NT,Num_VI,Num_TF,Mean_NT,Mean_VI,Mean_TF,WShare_NT,WShare_VI,WShare_TF,NT_cash,NT_lending,NT_loans,NT_nav,NT_pnl,NT_signal,NT_stocks,NT_returns,VI_cash,VI_lending,VI_loans,VI_nav,VI_pnl,VI_signal,VI_stocks,VI_returns,TF_cash,TF_lending,TF_loans,TF_nav,TF_pnl,TF_signal,TF_stocks,TF_returns,MeanReturn,Spoils,TimeA,TimeB,TimeC,TimeD,TimeE,TimeF,TimeG,TotalTime,PerSpoils
0,0.0,107.81,128.72575109719764,0.0041169476099005365,-1.9750335716671343,1061881.0828242872,0.0,50000000.00000003,0.0,0.0,39.0,29.0,32.0,105.5763775210144,105.57637752101438,2.0,34.38439679281536,33.05730155973884,32.55830164744584,55973171.1132617,0.0,0.0,104095965.2111579,191802.59822940253,108.37888411332257,48392842.20971847,0.00184239975516305,44499915.179916054,0.0,-31465517.24137927,134588048.27908003,235451.1337429285,105.57637752101438,58954212.09321164,0.0017494208197053264,47980819.99666349,0.0,-16406249.999999998,120129275.48385489,221836.85435254872,0.005502704719268836,56047093.8474326,0.0018466510636898237,0.0018167962826088776,0.0,0.6909746670000345,3.812500000321961e-05,1.6699999605407356e-07,0.00021249999997507985,0.0016298749999918982,0.000276416000019708,0.0006544580000422684,0.6937862080000627,0.0
1,1.0,107.07,4940.219479739841,0.004119325577380631,0.08542362932917713,781111.0395591047,0.0,50000000.0,0.0,0.0,38.0,30.0,32.0,104.26701339245244,104.26701339245241,2.0,33.50504511350178,33.9364842802941,32.55847060620412,56259076.94966302,0.0,0.0,104366782.33727454,269597.8803456508,106.93803610594254,47779789.573289834,0.002589660787517221,45308238.81039285,0.0,-30416666.666666627,133900216.05668317,330114.9245104219,104.26701339245241,57776864.05162747,0.002473653986585832,47254690.462465756,0.0,-16406249.999999998,120434163.84409608,304888.3602410853,-0.00686392727947327,56392564.83331751,0.0025380021565356166,0.0025383279853236906,0.0,6.400000000894579e-05,3.700000002027082e-05,0.00016245799997705035,0.0001663749999920583,0.001528541999959998,0.0002727909999862277,0.0006395409999981894,0.0028707069999427404,0.0
2,2.0,106.55,152.84388034127187,0.004118828862544327,-0.025409977329134827,1125181.3892238764,0.0,50000000.000000015,0.0,0.0,38.0,30.0,32.0,104.32723848895286,104.32723848895286,2.0,33.50335413879455,33.940431252871406,32.55621460833399,55687814.886416025,0.0,0.0,104038866.52295291,-327915.81432165165,106.88403289507029,48123072.53018632,-0.003141650158518348,44353140.258476354,0.0,-30416666.666666627,133501769.52868704,-398446.5279962242,104.32723848895286,58455380.969077304,-0.002977464614057675,48841116.58295705,0.0,-16406249.999999998,120053505.29578316,-380658.54831278324,-0.00485663584570839,54536306.71189373,-0.0031607189867283165,-0.003098496520207336,0.0,5.6916999994882644e-05,3.5625000009531504e-05,0.00012458400004788928,0.0001632080000035785,0.0015197920000105114,0.00027625000001307853,0.0006530420000103732,0.002829418000089845,0.0
3,3.0,106.53,-694.4301391234621,0.004133748309716896,0.5687468629961865,494458.4559891474,0.0,49999999.99999997,0.0,0.0,38.0,29.0,33.0,104.31465854444149,104.31465854444149,2.0,33.50260737296266,32.80366181747352,33.69373080956385,55817709.03184835,0.0,0.0,103810887.41660231,-227979.10635052857,106.86329554497243,47988222.371676035,-0.0021911920925956085,44472829.25188667,0.0,-30380499.40546964,133190184.50414455,-276507.90653952135,104.31465854444149,58329914.390838616,-0.0020716703549276388,48462648.348646276,0.0,-16862591.431556948,120221752.47398926,-270101.32649066503,-0.0001877053026747566,54890304.01642388,-0.002242275888355204,-0.0021733884412725637,0.0,5.554099999471873e-05,3.591600000163453e-05,0.000203125000041382,0.00016758300000674353,0.0013229170000386148,0.00028666600002225096,0.0006406250000168257,0.00271237300012217,0.0
0,0.0,100.27,2537.508718514291,0.004022228753782024,-0.05084444393461042,1032388.0790437052,0.0,49999999.99999995,0.0,0.0,33.0,31.0,36.0,101.89674905603093,101.89674905603093,2.0,33.32841718387201,32.68050522973739,33.99107758639064,48287392.69224821,0.0,-6818181.8181817755,107169626.04896998,-394424.32484568114,102.57600335618132,51920297.82849327,-0.0036665267686153157,46713321.18403474,0.0,-11290322.580645144,111865980.73245142,-410260.93011924624,101.89674905603093,53712772.67991799,-0.0036540315568472956,54643359.15991761,0.0,0.0,100192081.31060968,-357389.2228960395,-0.0028838504375497953,45417617.18284066,-0.003554362056804149,-0.0036222739567152097,0.0,8.891700002777725e-05,3.741699998727199e-05,1.6699999605407356e-07,0.0001445000000330765,0.0012978329999668858,0.00033266700000922356,0.0006992500000251312,0.0026007510000454204,0.0
1,1.0,100.37,3139.9119922366226,0.004017986271600111,-0.17370605148322232,658084.3395072889,0.0,50000000.00000004,0.0,0.0,33.0,31.0,36.0,101.86813607478223,101.86813607478223,2.0,33.32799709831336,32.680236343559805,33.99176655812684,48512086.45925569,0.0,-6818181.8181817755,107025872.33892325,-143753.71004672756,102.57620029721872,51751381.17429772,-0.0013412589321783034,46998278.74186191,0.0,-11290322.580645144,111716416.44459775,-149564.2878535539,101.86813607478223,53485389.226367004,-0.0013369952766182352,54203111.408296645,0.0,0.0,100060976.3427583,-131104.96785129607,0.0009973072703701735,45907148.75641105,-0.0013085362249822127,-0.0013281570243640895,0.0,6.170899996504886e-05,4.0458999990278244e-05,0.0002994170000079066,0.00015787500001351873,0.0013704579999966882,0.0002702500000282271,0.0006366659999912372,0.002836833999992905,0.0
2,2.0,100.36,-3035.4404545577127,0.003990537368055571,-1.0907364462060058,610768.7182489012,0.0,50000000.000000015,0.0,0.0,33.0,31.0,36.0,101.76068973628254,101.76068973628254,2.0,33.32838423093666,32.680426632940794,33.99118913612252,48952367.359439366,0.0,-6818181.8181817755,107081649.45173521,55777.11281196186,102.1318010046217,51309926.80673529,0.0005211324006678984,47087394.798333384,0.0,-11290322.580645144,111773990.54887404,57574.104276284575,101.76068973628254,53394935.8383367,0.0005153593903975303,53733845.72782972,0.0,0.0,100110260.16470768,49283.821949377656,-9.963136395341188e-05,46375816.788591616,0.0004925378879030339,0.0005090487428887331,0.0,5.5332999977508734e-05,3.5625000009531504e-05,0.00012125000000651198,0.00014737499998318526,0.0013137079999978596,0.00027695800002902615,0.0007378750000270884,0.0026881240000307116,0.0
3,3.0,99.95,-1674.4721601205529,0.003974884733631348,-0.6289359325482972,460145.6531308736,0.0,49999999.999999985,0.0,0.0,33.0,31.0,36.0,101.06551081620005,101.06551081620005,2.0,33.328338671702625,32.680349083226496,33.991312245070816,48907880.89945826,0.0,-6818181.8181817755,107080475.98435643,-1173.4673787775364,101.56428125492936,51148771.9376884,-1.0956714347446518e-05,47218120.770930685,0.0,-11290322.580645144,111772653.2173152,-1337.3315589129925,101.06551081620005,53050059.22149444,-1.1964604219156263e-05,53673098.06568192,0.0,0.0,100109662.51642133,-597.6482863724232,-0.0040852929453965015,46251074.72749876,-5.969900441664362e-06,-9.473907201594963e-06,0.0,6.008299999393785e-05,3.6500000021533197e-05,0.00014799999996739643,0.00015487499996424958,0.0013502920000405538,0.00027045799998859366,0.0006352909999804979,0.0026554989999567624,0.0
0,0.0,104.85,3375.232568349864,0.00415563466815106,0.13425857575531241,455414.98963051086,0.0,50000000.00000004,0.0,0.0,31.0,32.0,37.0,105.15372725083931,105.15372725083931,2.0,33.30871325935842,32.75085153274892,33.94043520789252,45232467.20874622,0.0,-17338709.67741938,120056091.79523927,113110.84585690114,106.6373878920174,57379923.12044773,0.0009429127897480859,49320507.074227735,0.0,-11718749.999999946,114356448.03032543,105773.58431842923,105.15372725083931,53219846.32228057,0.0009258027125994444,54821975.86045624,0.0,0.0,102495246.04178004,95003.77560767531,-0.0019038553069966602,47586143.26900386,0.0009277690511779141,0.0009318343817895569,0.0,8.745899998530149e-05,3.712500000574437e-05,1.6699999605407356e-07,0.0001375420000044869,0.0013040829999795278,0.0002779999999802385,0.0007014999999910287,0.002545875999942382,0.0
1,1.0,104.72,-580.7686411947361,0.00411514460598399,-1.5529870037066225,647205.1475175207,0.0,49999999.999999925,0.0,0.0,31.0,32.0,37.0,105.2468130894467,105.2468130894467,2.0,33.30818222331095,32.75109261986149,33.94072515682768,45036121.789268784,0.0,-17338709.67741938,119951100.00661334,-104991.78862596664,106.65011446816821,57509172.00144027,-0.0008743950075386362,49028965.042931944,0.0,-11718749.999999946,114259103.3965082,-97344.6338172257,105.2468130894467,53449448.66755033,-0.0008512386970204907,55249558.97258943,0.0,0.0,102408119.1294602,-87126.91231998801,-0.0012398664759178946,47103602.989020035,-0.0008500580825424083,-0.0008579803259242254,0.0,6.31249999969441e-05,3.8791999998011306e-05,0.00021625000005087713,0.0001501670000152444,0.0013979579999841008,0.0002901670000028389,0.00065708300002143,0.0028135420000694467,0.0
