,Gen,Price,Mismatch,Dividends,RDividend,Volume,Rep,Pos+,Pos-,NegW_per,Num_NT,Num_VI,Num_TF,Mean_NT,Mean_VI,Mean_TF,WShare_NT,WShare_VI,WShare_TF,NT_cash,NT_lending,NT_loans,NT_nav,NT_pnl,NT_signal,NT_stocks,NT_returns,VI_cash,VI_lending,VI_loans,VI_nav,VI_pnl,VI_signal,VI_stocks,VI_returns,TF_cash,TF_lending,TF_loans,TF_nav,TF_pnl,TF_signal,TF_stocks,TF_returns,MeanReturn,Spoils,TimeA,TimeB,TimeC,TimeD,TimeE,TimeF,TimeG,TotalTime,PerSpoils
0,0.0,97.18,3118.7169160696794,0.003933829579305174,-0.08739474107176332,746130.5780230648,0.0,50000000.000000015,0.0,0.0,34.0,34.0,32.0,99.68025433816513,99.68025433816513,2.0,33.320679368044196,33.32276808263198,33.356552549323816,49563285.48821261,0.0,0.0,98608421.88211577,-72050.72328467142,100.85617554561813,49104383.53667162,-0.0007302225125641257,50310177.3907798,0.0,0.0,98614603.17412932,-70852.75923761725,99.68025433816513,48362796.566848695,-0.000717965566126153,50408637.83359128,0.0,-6249999.9999999795,104884245.62444969,-70180.00166361034,0.001133202843309089,48284871.140009664,-0.0006686711993796019,-0.0007063587305561673,0.0,9.12920000075701e-05,3.7916999986009614e-05,1.2500001389526005e-07,0.00015237499999898318,0.0013533750000078726,0.000293541999980107,0.0007494590000192147,0.0026780850000136525,0.0
1,1.0,97.28,558.7444243811769,0.0039325845283159615,-0.0565108153562316,576955.146324243,0.0,50000000.0,0.0,0.0,35.0,34.0,31.0,99.62931285369142,99.62931285369143,2.0,34.363546547319714,33.32296757013567,32.31348588254464,49673327.893833995,0.0,-178571.4285714281,98846978.73770468,59247.60580796514,100.8350325060286,49049538.48622127,0.0005998748710068663,50499501.14288338,0.0,0.0,98672973.9576286,58370.78349927068,99.62931285369143,48227192.414173596,0.0005919081111770247,50116774.95237949,0.0,-6249999.9999999795,104943508.97360091,59263.34915135801,0.0010290183165260203,48630374.545172684,0.0005650357572628918,0.000586366047404088,0.0,6.58339999972668e-05,4.091700000685705e-05,0.00024383400000260735,0.0001751669999805472,0.0014034159999880558,0.0002890829999842026,0.0006343750000041837,0.0028526259999637205,0.0
2,2.0,97.28,295.29760880651884,0.003968310436135339,1.4358652969754748,400016.57165734505,0.0,49999999.99999997,0.0,0.0,35.0,34.0,31.0,99.59778032997065,99.59778032997065,2.0,34.364062969601854,33.32325111828179,32.31268591211632,49681003.72233975,0.0,-178571.4285714281,98901437.8086267,54459.07092200177,100.85658042916286,49045834.67879343,0.0005510658850166415,50511540.457567,0.0,0.0,98726693.55705695,53719.599428489804,99.59778032997065,48219124.354688086,0.0005444205973923283,50107716.93282653,0.0,-6249999.9999999795,104997149.49755225,53640.52395121753,0.0,48643405.10267211,0.0005111371296409679,0.0005364285730579163,0.0,5.641700002456673e-05,3.5124999982372174e-05,0.00012770800000794225,0.00014737500001160697,0.002203541999989511,0.0002692089999811742,0.0006311250000123891,0.0034705010000095626,0.0
3,3.0,97.68,-6155.014145656314,0.003967118710993634,-0.05394105097786005,535203.6619586963,0.0,50000000.00000003,0.0,0.0,35.0,34.0,31.0,100.50258506931266,100.50258506931266,2.0,34.364088078856604,33.32327757722098,32.31263434392236,49735368.37551768,0.0,-178571.4285714281,98905409.82970461,3972.0210778989963,101.40332559570545,49197110.28468918,4.016562792555298e-05,50177897.5703426,0.0,0.0,98730664.81225504,3971.2551980763674,100.50258506931266,48755007.80407164,4.0224736137661346e-05,50425079.62865035,0.0,-6249999.9999999795,105001122.03549863,3972.5379464775324,0.004111842105263275,48530028.216046564,3.783472185185505e-05,3.946314383482346e-05,0.0,5.758300000024974e-05,3.6124999979847416e-05,0.00011962499999640386,0.00026550000001179797,0.001284749999996393,0.0002642919999971127,0.0006239160000234278,0.0026517910000052325,0.0
0,0.0,101.12,846.6513131603133,0.00414125077439192,0.0826144680640931,814690.3792078743,0.0,50000000.00000003,0.0,0.0,31.0,35.0,34.0,104.8238306610782,104.82383066107822,2.0,33.37894090227118,33.813811817749524,32.80724727997923,45211156.49090939,0.0,-11290322.580645144,112125432.3147981,-209081.6834730256,104.60870099967076,55638935.890472524,-0.0018609686490320082,50121823.346050255,0.0,0.0,100604952.13835432,-189332.5949600637,104.82383066107822,50497105.66981179,-0.0018784060570597584,54500394.90589286,0.0,0.0,100481045.8609633,-176063.2265239358,0.0001978239366964285,45993949.675056994,-0.0017491385170908171,-0.0018290494969817159,0.0,9.141699999304365e-05,3.6708999999746084e-05,1.2500001389526005e-07,0.0001348330000041642,0.0012820830000066508,0.0002698339999938071,0.0007027499999878728,0.00251775099999918,0.0
1,1.0,101.37,1528.5384123644326,0.004128683973875633,-0.4879868940177971,662799.2338968958,0.0,50000000.00000002,0.0,0.0,31.0,35.0,34.0,104.88252240971758,104.8825224097176,2.0,33.37889498524743,33.81394463821289,32.8071603765397,45236182.567947924,0.0,-11290322.580645144,112140414.9620271,14982.647228957185,104.93773890767588,55755532.30229646,0.00013361226682962122,50450631.86400367,0.0,0.0,100618929.01586203,13976.87750774622,104.8825224097176,50297192.05305343,0.00013892832520336456,54151015.21481537,0.0,0.0,100494344.58094983,13298.719986617565,0.0024723101265822223,46461081.66976291,0.00013235053310471263,0.00013504389779396247,0.0,6.249999998431122e-05,4.066599998964193e-05,0.000170666000002484,0.00014354099999991377,0.0013744580000150108,0.00027879099999950085,0.0006259589999899617,0.0026965809999808243,0.0
2,2.0,101.28,3904.475292181538,0.004153923190017564,0.9641623777891783,552465.9073448756,0.0,49999999.999999955,0.0,0.0,31.0,35.0,34.0,104.56425196231599,104.564251962316,2.0,33.37968791915877,33.81535976298329,32.80495231785786,45483422.24296186,0.0,-11290322.580645144,112282037.45088953,141622.48886244913,104.61171297763316,55462870.32675498,0.0012627695118695428,50580484.15639233,0.0,0.0,100747823.91705708,128894.90119507909,104.564251962316,50126746.982519396,0.0012810204049653465,53803874.47660802,0.0,0.0,100612096.88457824,117752.30362841487,-0.0008878366380585812,46771025.74948286,0.0011717306493159274,0.0012382041111848449,0.0,5.654200001004028e-05,3.5249999996267434e-05,0.0001188339999771415,0.00013441699999816592,0.001364832999996679,0.000266459000016539,0.0006203750000111086,0.0025967100000059418,0.0
3,3.0,101.5,1518.5204268186935,0.0041792580135335145,0.9619197489167942,574120.4297886273,0.0,49999999.99999995,0.0,0.0,31.0,35.0,34.0,105.20346769611756,105.20346769611756,2.0,33.379288006197406,33.815009529591144,32.80570246421152,45278342.08369642,0.0,-11290322.580645144,112236615.150362,-45422.30052752985,105.14863692295549,55792520.55685451,-0.0004044874970132969,50287365.66582876,0.0,0.0,100707231.13891171,-40592.77814544737,105.20346769611756,50532826.6425252,-0.0004029146890444628,54304591.830668986,0.0,0.0,100574900.2260909,-37196.658487439156,0.002172195892575113,46375968.53673909,-0.0003697036404092737,-0.00039211050297883717,0.0,5.699999999819738e-05,3.4790999990264027e-05,0.0001152090000005046,0.00013358300000732015,0.0014615000000048894,0.00027816699997629257,0.0006583750000004329,0.002738624999977901,0.0
0,0.0,104.36,-1082.3009631243185,0.004083948755193919,1.2442295624185518,574370.190213755,0.0,50000000.00000002,0.0,0.0,30.0,39.0,31.0,102.62287380563518,102.62287380563518,2.0,33.3012172620332,34.24308815484305,32.45569458312379,45684360.91737063,0.0,-26666666.666666638,128979944.29360247,163070.56070851782,102.8219164238622,56708633.47126009,0.0012658560149627638,56904637.336354986,0.0,0.0,102021486.71068442,130994.3802753985,102.62287380563518,45181276.03451776,0.001285638897990715,45773590.98872497,0.0,-19354838.709677354,121650120.98998582,158078.50081776083,0.001343312224141302,56602297.758580856,0.0013011428368393323,0.001284510254125401,0.0,8.695799999713927e-05,3.729200000179844e-05,1.6699999605407356e-07,0.00013220799999658084,0.001308125000008431,0.0002815830000031383,0.0007194160000096872,0.002565749000012829,0.0
1,1.0,104.93,-4594.517164641526,0.0040677659984492435,-0.6352998852847089,606111.0847262662,0.0,50000000.0,0.0,0.0,30.0,39.0,31.0,103.43127479394401,103.43127479394398,2.0,33.30058280241604,34.242895869868946,32.45652132771498,45292611.59691099,0.0,-26666666.666666638,129059661.05529736,79716.76169492603,103.86391062652098,57414140.476269744,0.0006180102852388271,56843245.07332566,0.0,0.0,102085913.37087286,64426.66018824279,103.43127479394398,45493461.373468384,0.000631500895207946,46242911.24030591,0.0,-19354838.709677354,121730727.45698312,80606.46699741483,0.005461862782675464,56446154.585375555,0.0006626090162627159,0.000637097229744189,0.0,6.341700000689343e-05,4.054199999359298e-05,0.0001796669999976075,0.00014308299998333496,0.0015113750000068649,0.0002775830000132373,0.0006552090000013777,0.0028708760000029088,0.0
2,2.0,104.76,-5103.872847925348,0.004108367044206066,1.5781926637741972,684184.5343492279,0.0,50000000.00000004,0.0,0.0,30.0,39.0,31.0,103.02142558669006,103.02142558669003,2.0,33.29876520313224,34.24190062126969,32.45933417559802,45999589.06489362,0.0,-26666666.666666638,129373418.73984738,313757.68455002905,103.0689579427422,56618190.38106446,0.0024308895778186812,56938796.391541064,0.0,0.0,102336706.44679405,250793.07592129707,103.02142558669003,45328241.78908922,0.002456686408928711,45451568.35281608,0.0,-19354838.709677354,122043904.53535889,313177.07837566733,-0.001620127704183738,57150092.21914793,0.0025727035804196346,0.002484912682757888,0.0,5.7875000010199074e-05,3.675000002090201e-05,0.0001262909999866224,0.00013779200000385572,0.0014612500000055206,0.000292666999996527,0.0008317079999926591,0.002944333000016286,0.0
3,3.0,105.22,-3411.947361375729,0.004106171160035468,-0.09111601869826556,1031640.946720391,0.0,50000000.00000003,0.0,0.0,30.0,39.0,31.0,104.04969948832874,104.04969948832874,2.0,33.29899378215988,34.24237363548894,32.45863258235127,45254578.73975553,0.0,-26666666.666666638,129284446.1126247,-88972.62722266019,104.23372795042475,57615854.64655939,-0.0006876074613785405,56518186.32907324,0.0,0.0,102267038.18063031,-69668.26616369188,104.04969948832874,45951923.54098988,-0.0006807749495037068,46714736.23582888,0.0,-19354838.709677354,121956499.28164145,-87405.25371745229,0.004390988927071238,56141914.27434231,-0.0007161787723050855,-0.0006937998881345843,0.0,5.695900000546317e-05,3.649999999311149e-05,0.00012204200001519894,0.00014008299999090923,0.0014837079999949765,0.0002612499999941065,0.00062766600001396,0.002728208000007726,0.0
0,0.0,98.34,-4488.356228062301,0.003923882623236685,-0.33344472752477805,787567.8933038528,0.0,49999999.999999955,0.0,0.0,35.0,30.0,35.0,99.58263496495194,99.58263496495194,2.0,33.32853237104772,33.34114991195633,33.33031771699595,51944281.41582462,0.0,0.0,99641265.27426709,-155319.1161128921,99.81081853041097,47333396.57430515,-0.001556326981075522,43815898.605933756,0.0,-16666666.666666644,116292152.12951675,-181636.31065553427,99.58263496495194,55383497.831040554,-0.0015594608288098503,53605945.11070878,0.0,0.0,99646602.86691152,-149126.1236935556,-0.007769145394006638,45680748.14194583,-0.001494313686586673,-0.0015355624823247232,0.0,9.833400000047732e-05,4.004100000543076e-05,1.6699999605407356e-07,0.00017670900001576229,0.0017403329999865491,0.0003187500000194632,0.0007343329999969228,0.0031086670000206595,0.0
1,1.0,97.93,4870.68138964969,0.003913598958196279,-0.42230546240537437,561840.1387672415,0.0,50000000.000000015,0.0,0.0,35.0,31.0,34.0,99.377393349272,99.37739334927198,2.0,33.32828589491856,34.29272492776326,32.37898917731807,51781373.157244034,0.0,0.0,99277677.99012977,-363587.2841373456,99.54558680376839,47302907.05289873,-0.0036489517958807876,43785092.20120747,0.0,-16129032.258064494,115331244.72135112,-423954.20614622295,99.37739334927198,55191462.796762094,-0.003662272976545839,54101276.680427015,0.0,0.0,99286693.2526546,-359909.61425691843,-0.004169208867195406,44998909.01320355,-0.003611860353509646,-0.003640470271480765,0.0,6.541599998399761e-05,4.0958000028012975e-05,0.00017920799999160408,0.00016274999998699968,0.0013541659999987132,0.0002649579999740581,0.0006290409999962776,0.0026964969999596633,0.0
2,2.0,97.89,2449.6462906969828,0.0039312818610688855,0.7109932437925157,687988.6627031374,0.0,50000000.00000003,0.0,0.0,35.0,31.0,34.0,99.11694625543164,99.11694625543164,2.0,33.32763159966991,34.291757789833035,32.380610610497136,51795487.52595782,0.0,0.0,99084280.21014278,-193397.7799870027,99.54026113457213,47273425.30414456,-0.0019481542689617818,44152519.468143255,0.0,-16129032.258064494,115105587.2560341,-225657.4653170176,99.11694625543164,54805445.224666595,-0.001956242392152574,53763367.58884786,0.0,0.0,99100185.69363056,-186507.55902415514,-0.00040845501889108515,45322391.54089045,-0.0018784748782956213,-0.001926970594324433,0.0,5.733399999030553e-05,3.51660000035281e-05,0.0001197079999997186,0.0001490420000038739,0.0014427079999848047,0.00026591700000722085,0.0006311249999839674,0.002700999999973419,0.0
3,3.0,98.21,-5924.39004653052,0.003923327063577165,-0.32748279801216246,588720.4582401582,0.0,50000000.00000001,0.0,0.0,36.0,31.0,33.0,99.56478860013421,99.5647886001342,2.0,34.279981286484954,34.29150756917272,31.428511144342444,52080173.360798635,0.0,0.0,99069380.78287005,-15341.24625848358,99.75439698425234,47147515.90425395,-0.0001548454305147061,44184266.617078364,0.0,-16129032.258064494,115086996.95087445,-18590.305159649542,99.5647886001342,54956804.347548775,-0.00016148025782479158,53494579.267821096,0.0,0.0,99085759.12973832,-14426.56389220059,0.00326897538052906,45743287.65675291,-0.00014557554853429337,-0.00015384316592729642,0.0,5.783299999961855e-05,3.541700002074322e-05,0.0001357499999983247,0.00015729099999362006,0.0013158750000172859,0.00026345899999569156,0.0006285830000081205,0.0025942080000334045,0.0
0,0.0,104.6,2392.4565971971024,0.0039941193510085295,-2.4358867659917953,419001.3064121712,0.0,49999999.99999994,0.0,0.0,36.0,25.0,39.0,102.72850516968003,102.72850516968009,2.0,33.2124300125405,32.84074047756705,33.94682950989231,54219563.616506934,0.0,-6249999.999999999,107819267.31812158,-108227.03285044018,103.099107393587,47593821.42478016,-0.0010027482854808871,36107234.735556155,0.0,-49999999.99999999,153522189.9812808,-158144.52226373553,102.72850516968009,67762897.47443844,-0.0010290485296938765,55235477.06440287,0.0,0.0,101726203.5971594,-108940.38036948442,0.005092726049774177,46732051.07299877,-0.0010697719482139028,-0.0010354625750000105,0.0,8.758300000977215e-05,3.6708000010321484e-05,1.67000024475783e-07,0.00015520799999535484,0.0015296250000176315,0.0002975830000195856,0.0007316669999966052,0.0028385410000737465,0.0
1,1.0,103.79,-5051.956315536285,0.003973574142918938,-0.8228313919148109,1192408.7866702029,0.0,49999999.99999996,0.0,0.0,36.0,25.0,39.0,101.15622915899117,101.15622915899115,2.0,33.21118881406348,32.83958717915762,33.94922400677891,55192382.72497797,0.0,-6249999.999999999,108063385.0412871,244117.72316550545,101.12133208848488,46256406.88705638,0.002264155381159581,36800993.492975354,0.0,-49999999.99999999,153870132.20999467,347942.22871378064,101.15622915899115,66548405.33720399,0.002266396986365332,53902963.79599141,0.0,0.0,101967528.13740161,241324.54024228454,-0.00774378585086033,47706646.63168902,0.0023722947648566646,0.0023068901421028814,0.0,6.020800000783311e-05,4.099999998175008e-05,0.0002806669999984024,0.00016162499997562918,0.0014906249999739885,0.00026437500000042746,0.0006339999999909196,0.0029324999999289503,0.0
2,2.0,102.9,-5303.971294527117,0.003965839803933932,-0.3152566263748379,1219603.5890635778,0.0,50000000.000000015,0.0,0.0,36.0,25.0,39.0,100.63589523929853,100.63589523929859,2.0,33.21284297885494,32.84088223814216,33.94627478300292,54527929.17162207,0.0,-6249999.999999999,107698789.61203432,-364595.42925274,100.63613016376067,46528168.29577307,-0.0033737747817160872,35845334.47512256,0.0,-49999999.99999999,153349398.83017924,-520733.37981528044,100.63589523929859,66937413.389419615,-0.0033842395033794365,55139088.71378563,0.0,0.0,101609610.42768046,-357917.709721297,-0.008575007226129694,46065400.169658415,-0.0035101146047102506,-0.0034295634930996484,0.0,5.5457999991403994e-05,3.533400001742848e-05,0.0001183749999995598,0.000151750000014772,0.0014836250000200835,0.00035070799998493385,0.0006549590000020089,0.0028502090000301905,0.0
3,3.0,102.56,-5578.622492518276,0.003990957182965495,0.9991330105220873,409557.74519279716,0.0,50000000.000000045,0.0,0.0,36.0,25.0,39.0,100.44001311911042,100.44001311911038,2.0,33.217236266835855,32.84361250129271,33.939151231871456,54535228.52201445,0.0,-6249999.999999999,107306097.46739517,-392692.14463918534,100.32387720724746,46371099.95297374,-0.0036463323034361178,35632845.898854345,0.0,-49999999.99999999,152782747.86454213,-566650.9656371474,100.44001311911038,66932747.20487063,-0.0036951626153074305,55278775.325197406,0.0,0.0,101204488.88344395,-405121.5442363918,-0.003304178814382941,45777480.04028671,-0.003987039636617174,-0.003791415741344558,0.0,5.762500001083026e-05,3.641600000037215e-05,0.00013654100001758707,0.0001584999999977299,0.0013354170000070553,0.0002649169999813239,0.000634667000014133,0.0026240830000290316,0.0
0,0.0,98.46,2972.7392668169923,0.0038659835918542418,0.7259019743519228,725198.6292018429,0.0,49999999.99999997,0.0,0.0,31.0,37.0,32.0,97.46150986800433,97.46150986800431,2.0,33.33320845951594,33.91358311986038,32.753208420623565,46740381.775014065,0.0,-17338709.67741938,116679425.32784364,-65397.948079000074,97.74644995310878,52524351.48055534,-0.0005601816108661227,54591103.37763644,0.0,0.0,99460539.41097741,-55164.0010201931,97.46150986800431,44804390.06194551,-0.0005543245852547782,48118643.277214356,0.0,-11718749.999999946,111066408.22328342,-63764.380857899785,-0.0015211439002129623,51155708.49408745,-0.0005737809936194014,-0.0005623663138709745,0.0,8.629200002019388e-05,3.67499999924803e-05,1.6600000662947423e-07,0.00013500000000021828,0.0012762920000000122,0.00027449999998907515,0.0007541250000144828,0.002563125000023092,0.0
1,1.0,98.66,-3702.5094711891143,0.003875309188975126,0.3766595716989844,489576.5467372799,0.0,50000000.000000075,0.0,0.0,31.0,37.0,32.0,97.9110256291569,97.9110256291569,2.0,33.33333624704502,33.91361874782676,32.75304500512815,46788646.533232406,0.0,-17338709.67741938,116603442.93298876,-75982.3948548417,97.99440289841932,52586700.59098192,-0.0006512191724150074,54421814.76383091,0.0,0.0,99395493.43958192,-65045.97139546275,97.9110256291569,45068618.724924065,-0.0006539877199608635,48279893.008383825,0.0,-11718749.999999946,110993101.77130176,-73306.4519816935,0.002031281738777091,51102293.401792824,-0.0006600236124888552,-0.0006550609558306055,0.0,6.320800000025883e-05,3.96660000205884e-05,0.00017320800000675263,0.00015387499999519605,0.001369791999991321,0.0002892499999802567,0.0006871249999846896,0.0027761239999790632,0.0
2,2.0,99.03,1112.9444509501336,0.003891190863956499,0.6442960400649222,588257.792712508,0.0,50000000.00000004,0.0,0.0,31.0,37.0,32.0,98.14720841602488,98.1472084160249,2.0,33.33301247594685,33.91351097829414,32.753476545759014,46772285.77220717,0.0,-17338709.67741938,116714056.80163372,110613.86864494171,98.50144127451755,52804205.52991503,0.0009486601675885554,54703954.75742823,0.0,0.0,99490433.48875488,94940.04917296767,98.1472084160249,44959434.70071776,0.0009551745847579843,47981809.685884304,0.0,-11718749.999999946,111100936.41017671,107834.63887485862,0.0037502533954998363,51595954.52018984,0.0009715436108547438,0.0009583932037864242,0.0,6.149999998683597e-05,3.9125000000694854e-05,0.00020387500001106673,0.00021129199998881631,0.001506832999979224,0.00027179200000659876,0.000630374999985861,0.0029247919999590977,0.0
