,Gen,Price,Mismatch,Dividends,RDividend,Volume,Rep,Pos+,Pos-,NegW_per,Num_NT,Num_VI,Num_TF,Mean_NT,Mean_VI,Mean_TF,WShare_NT,WShare_VI,WShare_TF,NT_cash,NT_lending,NT_loans,NT_nav,NT_pnl,NT_signal,NT_stocks,NT_returns,VI_cash,VI_lending,VI_loans,VI_nav,VI_pnl,VI_signal,VI_stocks,VI_returns,TF_cash,TF_lending,TF_loans,TF_nav,TF_pnl,TF_signal,TF_stocks,TF_returns,MeanReturn,Spoils,TimeA,TimeB,TimeC,TimeD,TimeE,TimeF,TimeG,TotalTime,PerSpoils
0,0.0,103.43,-6201.263601658924,0.004103408237611092,-0.574070750594115,554817.0970844898,0.0,49999999.99999995,0.0,0.0,32.0,37.0,31.0,104.2971634469209,104.2971634469209,2.0,33.33222940379785,34.02633633033304,32.64143426586912,48203301.99503473,0.0,-13281250.000000002,114755018.35652675,324162.00014763186,104.44072484394758,53669055.88693216,0.0028324332445962396,53894852.51899813,0.0,0.0,101314304.94222972,289247.22568263113,104.2971634469209,47775060.65274167,0.002863123587557774,47488236.26383302,0.0,-14516129.03225805,116001830.53633104,333203.3356509805,0.007402357066329079,54400418.30537837,0.0028806716541460034,0.0028587425784524344,0.0,9.858299998199982e-05,4.020899999090943e-05,2.090000066345965e-07,0.00015316700000767014,0.0015817089999927703,0.00029699999998911153,0.0007509590000154276,0.0029218359999845234,0.0
1,1.0,103.42,4282.432797721529,0.00406571188998658,-1.4645949125717328,474624.23205597745,0.0,49999999.99999999,0.0,0.0,32.0,37.0,31.0,103.92411130925987,103.92411130925987,2.0,33.33181316710823,34.02715096080475,32.64103587208713,48292762.357059024,0.0,-13281250.000000002,115153607.88196692,398589.5254401597,104.2221226861579,53578429.12809893,0.0034727651113514767,54126799.32469696,0.0,0.0,101669913.17173971,355608.2295101136,103.92411130925987,47542511.52563578,0.0035099508377704884,47132019.55869047,0.0,-14516129.03225805,116404783.60146949,402953.0651384145,-9.668374746207853e-05,54755398.111364834,0.003473678503825097,0.0034868069817933335,0.0,6.35840000029475e-05,4.0582999986327195e-05,0.00020587500000601722,0.00016124999999078682,0.0011975419999998849,0.0002802919999851383,0.0008224999999981719,0.002771625999969274,0.0
2,2.0,102.56,949.2496738857008,0.004054631323073752,-0.43890722821767264,756505.8010424456,0.0,49999999.99999999,0.0,0.0,32.0,37.0,31.0,102.96940263792305,102.96940263792304,2.0,33.331770881857125,34.02725087097001,32.64097824717304,48131721.02716715,0.0,-13281250.000000002,115152441.48515795,-1166.396808956284,103.19739209701079,53297950.260338984,-1.0116969674849557e-05,53837244.7653153,0.0,0.0,101669310.85033272,-602.3214070796967,102.96940263792304,47440733.05086452,-5.924283677337868e-06,47656805.00113294,0.0,-14516129.03225805,116403546.7023134,-1236.899156063795,-0.008315606265712594,53779305.44474722,-1.0625844727296774e-05,-8.723427122028868e-06,0.0,6.970799998384791e-05,3.875000001585249e-05,0.00013462500001537592,0.00017145800001117095,0.001635415999999168,0.00028029200001356003,0.0006535829999734233,0.0029838320000123986,0.0
3,3.0,102.0,-4705.727770566009,0.004069434720811562,0.5733076422239672,773043.479695182,0.0,49999999.99999993,0.0,0.0,32.0,37.0,31.0,102.68877297532616,102.68877297532616,2.0,33.33240820546502,34.02739410440482,32.64019769013019,47623600.88394535,0.0,-13281250.000000002,114710921.28750613,-441520.19765181,102.97795906190308,53519076.839620665,-0.003833206258020069,53450802.429845266,0.0,0.0,101277977.8161798,-391333.0341528654,102.68877297532616,47572157.48523592,-0.0038490772769075466,48655529.98694808,0.0,-14516129.03225805,115952239.47813812,-451307.22417514026,-0.005460218408736339,52490958.521884196,-0.003877091694888809,-0.003852683020437745,0.0,5.820900000230722e-05,3.67499999924803e-05,0.00012487499998314888,0.00014391700000260244,0.0015162919999909263,0.00026725000000737964,0.0007898340000167536,0.0029371269999955985,0.0
0,0.0,103.89,578.1923533205409,0.004040358993380652,-0.11912889067936587,496465.44917234767,0.0,49999999.99999998,0.0,0.0,24.0,38.0,38.0,102.40010969556562,102.40010969556567,2.0,33.42723866208312,33.24211041643067,33.330650921486196,33423883.46990302,0.0,-58333333.333333276,162191210.28658462,-9545.98319337517,101.47936891404,69871016.81735066,-5.884887240435786e-05,56118255.73673059,0.0,0.0,101869235.10761201,-4719.356102526188,102.40010969556567,45389529.70289105,-4.63254433124723e-05,54584085.99629277,0.0,0.0,102140564.25648549,-5017.542979821563,-0.008020624462904635,47178775.46509797,-4.912148809012735e-05,-5.039356331003375e-05,0.0,9.058400002004419e-05,3.704200000242963e-05,1.6699999605407356e-07,0.000113166000005549,0.0015101659999743333,0.00028145899997866763,0.0006845829999804209,0.0027171669999574988,0.0
1,1.0,103.38,5842.137479098921,0.004051471703856049,0.4303484292863246,953997.8208727975,0.0,49999999.999999955,0.0,0.0,24.0,38.0,38.0,102.32730779960393,102.327307799604,2.0,33.43063453218018,33.24291514676904,33.32645032105077,32941369.593887284,0.0,-58333333.333333276,161628233.62058696,-562976.6659976492,101.2130111769896,70014582.10270797,-0.0034709315774155065,55573971.42729468,0.0,0.0,101507785.43962157,-361449.6679902673,102.327307799604,45714991.80024219,-0.0035481729847921376,55443677.43683797,0.0,0.0,101762861.46139085,-377702.7950947881,-0.004909038406006427,46091587.92436331,-0.003697872611574155,-0.003586520905198913,0.0,6.074999998872954e-05,3.758299999390147e-05,0.0001819170000203485,0.00018295799998213624,0.0015346669999871665,0.0002759590000209755,0.0006228329999942162,0.002896666999987474,0.0
2,2.0,103.51,4223.997281566961,0.00406815197306159,0.6472993592602098,585295.8870800362,0.0,50000000.000000045,0.0,0.0,24.0,38.0,38.0,102.6087515394218,102.60875153942186,2.0,33.43284449918772,33.243159422315,33.3239960784971,33299590.301469404,0.0,-58333333.333333276,161289285.02992857,-338948.59065842134,101.22021851846485,69748467.00174999,-0.0020972217018026345,55554268.78388029,0.0,0.0,101288963.2275368,-218822.2120848,102.60875153942186,45796185.14918333,-0.002155718511019617,55247719.3148675,0.0,0.0,101535265.3612013,-227596.1001894474,0.0012574966144323074,46349519.902342975,-0.002236534005834716,-0.002172389164837279,0.0,5.8375000008936695e-05,3.508399998963796e-05,0.00011916599999040045,0.00011191699999812954,0.0013979999999946813,0.0002477920000103495,0.0006132909999791991,0.0025836249999713345,0.0
3,3.0,103.91,1791.4108706906554,0.0040609899214463265,-0.28574168810298817,697855.6400190932,0.0,49999999.99999998,0.0,0.0,23.0,38.0,39.0,103.03120089205908,103.03120089205909,2.0,32.03861396038054,33.24352317614227,34.71786286347717,34241833.78037528,0.0,-58333333.333333276,161379413.91718534,91401.33345735332,101.20909273191587,69076131.72548173,0.000566759268192775,55677821.30763918,0.0,0.0,101350453.93306363,61490.70552685857,103.03120089205909,45853606.93422129,0.0006070819916354072,54019183.95136833,0.0,-1495726.495726495,103131331.93425633,63161.80558482042,0.0038643609313109284,47802869.405474626,0.0006119318670353706,0.0005996992166495875,0.0,5.6541999981618574e-05,3.4166999995477454e-05,0.00014300000000844193,0.00011066700000128549,0.0013822919999881833,0.0002797909999969761,0.000670041999995874,0.002676500999967857,0.0
0,0.0,96.38,2701.993534298381,0.0038699350028807995,1.0030203791174217,570304.4237114501,0.0,50000000.000000015,0.0,0.0,32.0,36.0,32.0,97.39189029922638,97.39189029922638,2.0,32.36927892266797,34.29809994692863,33.33262113040343,50369585.952344425,0.0,-6249999.9999999795,104555891.64823441,200098.46036031283,96.51522742032449,47850176.55055106,0.0019181178786881609,51726688.05746009,0.0,0.0,98476595.12407027,193882.84737575054,97.39189029922638,46666522.44162242,0.001972705503180598,47959788.47452473,0.0,-9374999.999999998,107667579.85521589,203377.122931242,-0.0018641259320630876,50243735.702623755,0.001892510415192825,0.0019295750351869306,0.0,8.67910000010852e-05,3.691599999910977e-05,1.6699999605407356e-07,0.0001384579999808011,0.0012961250000103064,0.00031524999999987813,0.0007220840000172757,0.0025957910000045104,0.0
1,1.0,96.59,5052.266152891505,0.0038833682190183468,0.5447634799681773,806947.7780276267,0.0,50000000.000000045,0.0,0.0,32.0,36.0,32.0,98.0111002148606,98.0111002148606,2.0,32.3695707346399,34.29762018786397,33.33280907749608,49856757.94348483,0.0,-6249999.9999999795,104469762.50289544,-86129.14533896884,97.29773930857799,48471191.18125153,-0.0008240058796247113,51418974.422808476,0.0,0.0,98393210.49908255,-83384.62498776615,98.0111002148606,47079849.7174957,-0.0008467456138457072,48831073.27165769,0.0,-9374999.999999998,107578524.17714837,-89055.67806740105,0.002178875285328896,49485852.88656575,-0.0008271355052946971,-0.0008331936641586653,0.0,6.187500000010004e-05,4.050000001143417e-05,0.00017645799999854717,0.00018637499999840657,0.001420916000000716,0.0002869580000037786,0.0006610840000007556,0.002834166000013738,0.0
