,Gen,Price,Mismatch,Dividends,RDividend,Volume,Rep,Pos+,Pos-,NegW_per,Num_NT,Num_VI,Num_TF,Mean_NT,Mean_VI,Mean_TF,WShare_NT,WShare_VI,WShare_TF,NT_cash,NT_lending,NT_loans,NT_nav,NT_pnl,NT_signal,NT_stocks,NT_returns,VI_cash,VI_lending,VI_loans,VI_nav,VI_pnl,VI_signal,VI_stocks,VI_returns,TF_cash,TF_lending,TF_loans,TF_nav,TF_pnl,TF_signal,TF_stocks,TF_returns,MeanReturn,Spoils,TimeA,TimeB,TimeC,TimeD,TimeE,TimeF,TimeG,TotalTime,PerSpoils
0,0.0,107.29,1275.3519943793945,0.00418134602420572,1.383083533768926,1039937.5077383036,0.0,50000000.00000003,0.0,0.0,34.0,40.0,26.0,104.97919861056107,104.97919861056107,5.5,32.731581910960216,34.17431286106128,33.094105227978524,54488725.33677762,0.0,-13235294.117647069,117058239.2019334,-178685.27825684845,103.83438277557163,49233106.111172296,-0.0015239273994119337,58390897.67683034,0.0,0.0,103885206.80986223,-161839.76029796898,104.97919861056107,45402351.567531176,-0.0015554479020107332,31561716.311868474,0.0,-50961538.46153839,154771575.84921652,-270966.3402555379,0.000371352318207533,72095397.28918824,-0.0017476871026500945,-0.0015947131232933753,0.0,8.750000000645741e-05,2.033399999845642e-05,1.2499998547355062e-07,0.00019224999999778447,0.0012953330000300411,0.00026937499995938197,0.0007224999999948523,0.0025874169999724472,0.0
1,1.0,107.63,-3166.253072024818,0.004199441279907973,0.6807193378441458,850313.8062207323,0.0,49999999.99999999,0.0,0.0,34.0,40.0,26.0,105.89798637609286,105.89798637609287,5.5,32.733168824192944,34.175237885599955,33.09159329020703,54449612.69659243,0.0,-13235294.117647069,116957125.56559697,-101113.636336455,104.36993672164347,49432326.79910878,-0.0008637008037468936,57907625.370664164,0.0,0.0,103793249.2443615,-91957.56550069153,105.89798637609287,46033596.945053026,-0.0008851844100286431,32372080.090762667,0.0,-50961538.46153839,154618652.06259513,-152923.78662145024,0.003305350161854506,71517577.34723775,-0.000988059639003089,-0.0009046275434262043,0.0,5.954200003088772e-05,2.079199998661352e-05,0.00015808400002015333,0.00020237499995801045,0.0013562080000042442,0.000265791000003901,0.0006214590000013231,0.0026842510000051334,0.0
2,2.0,108.04,-2103.895736204053,0.004214244674649053,0.5533219276859093,618415.3657652694,0.0,49999999.99999996,0.0,0.0,34.0,40.0,26.0,106.35627208857298,106.35627208857298,5.5,32.7310747727293,34.17498673685793,33.093938490412754,54662571.18385469,0.0,-13235294.117647069,117117233.6133483,160108.04775131054,104.73257347230503,49411769.548796296,0.001368837768208299,57958977.86677362,0.0,0.0,103941222.3157172,147973.0713556111,106.35627208857298,46161702.781504564,0.0014256521732664564,32030341.79139499,0.0,-50961538.46153839,154851195.8995388,232543.83694372498,0.0068132545794912834,72135835.54156709,0.0015039804024539135,0.0014267006151354217,0.0,5.441700000119454e-05,1.93750000221371e-05,0.00010083300003316253,0.0001909999999725187,0.0013692919999925834,0.0002817920000097729,0.0006506249999915781,0.0026673340000229473,0.0
3,3.0,108.43,4307.492545466346,0.004239752378014298,0.954573542374458,609349.6932281419,0.0,49999999.99999999,0.0,0.0,34.0,40.0,26.0,106.7311871722651,106.7311871722651,5.5,32.72859452606783,34.17525356081974,33.096151913112536,54911655.431244574,0.0,-13235294.117647069,117309634.85029806,192401.23694979795,105.04589433419757,49345158.96027213,0.0016426223636145294,58060521.34500377,0.0,0.0,104120680.64827822,179458.33256098628,106.7311871722651,46230904.138616316,0.0017265366768142178,31564194.89609311,0.0,-50961538.46153839,155127715.79450047,276519.89496164594,0.009055687144163237,72866478.06946519,0.0017857116004097772,0.0017133912904611693,0.0,5.8249999995041435e-05,2.129099999592654e-05,0.00011808400000745678,0.00040641699996513125,0.0014453339999818127,0.00030195800002275064,0.0006648340000197095,0.003016167999987829,0.0
0,0.0,101.91,2267.4409569277195,0.004001963144686765,-0.5402565667246736,631679.9069673317,0.0,49999999.999999955,0.0,0.0,37.0,32.0,31.0,101.69697268031054,101.69697268031055,5.580645161290323,34.05369037756853,33.32046733465795,32.625842287773445,55134200.91315694,0.0,0.0,101405179.02334216,-13913.233894328008,101.4918773267507,45922990.14398793,-0.0001371620636723378,48303406.302405275,0.0,-13281250.000000002,114725189.24961533,-16540.299723386765,101.69697268031055,52742325.56507772,-0.00014415243511101564,45906298.48007677,0.0,-14516129.03225805,115957198.88589527,-17948.974579317917,0.0016792366248784803,55115966.01903096,-0.00015476614213297455,-0.00014485624685551212,0.0,8.445800000345116e-05,1.8833000012818957e-05,1.6699999605407356e-07,0.00020229199998311742,0.0016316250000159016,0.0002789170000028207,0.0006816659999913099,0.002897958000005474,0.0
1,1.0,101.25,-5813.3572227882105,0.003989864349902395,-0.48618873711699895,940758.1314980575,0.0,50000000.00000003,0.0,0.0,37.0,32.0,31.0,101.35488336059653,101.35488336059655,5.580645161290323,34.05614558391993,33.32155529108368,32.62229912499637,54659717.55811858,0.0,0.0,101057191.05714485,-347987.96619732515,101.12821644197017,46104047.97512405,-0.0034311985813744524,47741469.84863999,0.0,-13281250.000000002,114326981.867483,-398207.3821324259,101.35488336059655,52966668.31049157,-0.003470967315347102,47065527.659958094,0.0,-14516129.03225805,115538393.53136581,-418805.3545294428,-0.007625137392992367,53603768.999505796,-0.0036117365749961743,-0.003499891354268434,0.0,5.8749999993779056e-05,2.1124999989297066e-05,0.0001399999999875945,0.00022845799998094662,0.0017936250000047949,0.0002833750000377222,0.0006654580000144961,0.0031907910000086304,0.0
2,2.0,100.7,-2861.9954043629114,0.00399369273341472,0.14605198357139396,863964.1111213205,0.0,49999999.999999955,0.0,0.0,37.0,32.0,31.0,101.048465762573,101.048465762573,5.580645161290323,34.058394247394695,33.322107150144106,32.61949860246114,54128453.961356394,0.0,0.0,100763765.53324264,-293425.5239022233,100.9705502450736,46388857.37626039,-0.0029033829836234027,47302204.67529132,0.0,-13281250.000000002,113989388.15913154,-337593.7083513737,101.048465762573,53122197.01362584,-0.0029528786891503942,48165905.07188307,0.0,-14516129.03225805,115185425.69172196,-352967.8396438682,-0.01406031728798927,52216192.66588195,-0.003055003913808024,-0.0029662240977492726,0.0,5.68329999737216e-05,2.0875000018349965e-05,0.00011116700000002311,0.00021991699998125114,0.0017509170000380436,0.0002667080000264832,0.0006275829999822236,0.003054000000020096,0.0
3,3.0,100.4,4978.423439581471,0.003998721578271899,0.19362304200268016,958506.7226859427,0.0,49999999.99999999,0.0,0.0,37.0,32.0,31.0,101.14542451764466,101.14542451764466,5.580645161290323,34.05941575052938,33.32166058269296,32.61892366677765,53884847.17496497,0.0,0.0,100517311.33761677,-246454.19562586135,100.88461852044179,46498255.04206463,-0.0024458833899365265,46780665.82201242,0.0,-13281250.000000002,113705651.68891715,-283736.4702144265,101.14542451764466,53489463.677984014,-0.0024891481110357787,49007886.452461064,0.0,-14516129.03225805,114898226.7700231,-287198.92169886536,-0.015679942884765336,51222636.31445548,-0.0024933832087755017,-0.00247445304452837,0.0,5.541600000924518e-05,1.9541999961347756e-05,9.954199998674085e-05,0.00020754199999828415,0.0012917909999714539,0.00025754099999630853,0.0006204169999932674,0.0025517909999166477,0.0
0,0.0,99.0,3156.3000400066376,0.0040274341235146775,-0.7074803483188572,536938.0037912091,0.0,50000000.00000004,0.0,0.0,31.0,34.0,35.0,102.45252423174995,102.45252423174995,6.228571428571429,33.40117627983125,32.80205777638057,33.796765943788024,44873231.42627331,0.0,-11290322.580645144,111155054.79034051,9608.336828101066,102.27290065609532,54906571.079505935,8.644834895845669e-05,49676899.910479486,0.0,0.0,99529385.24178077,9023.111511796713,102.45252423174995,49775810.86926382,9.066598350984446e-05,55106815.616429575,0.0,0.0,99617640.06760527,8467.198937392235,-0.013514491885793999,44443392.19943847,8.500418903068369e-05,8.737688873120798e-05,0.0,9.029099999224854e-05,2.00829999812413e-05,1.6600000662947423e-07,0.00019424999999273496,0.0014035000000376385,0.0002784590000146636,0.0006831250000232103,0.0026698740000483667,0.0
1,1.0,98.69,5256.428310612508,0.004047482177826088,0.7839445478405036,492815.9945088839,0.0,50000000.00000002,0.0,0.0,31.0,34.0,35.0,101.9999687836372,101.9999687836372,6.228571428571429,33.40026084016797,32.800951789429504,33.79878737040254,44998900.87451976,0.0,-11290322.580645144,111070125.08642441,-84929.70391613965,101.76514989129114,54612997.267792664,-0.0007640604375115419,49702397.71533749,0.0,0.0,99452710.77974321,-76674.46203753352,101.9999687836372,49598455.70843357,-0.0007703700957387888,54982200.15009102,0.0,0.0,99550207.81586806,-67432.25173724294,-0.014182929222808317,44432845.446048185,-0.0006769094826650703,-0.0007357028871125408,0.0,6.045899999662652e-05,2.0249999977295374e-05,0.00015816699999504635,0.0001957079999783673,0.001298083999984101,0.00027541700001165736,0.0006666670000186059,0.0026747519999616998,0.0
2,2.0,98.85,-1879.5251470453222,0.004064208088602202,0.6497336626714681,540457.5894455044,0.0,50000000.000000015,0.0,0.0,31.0,34.0,35.0,102.50771164204846,102.50771164204846,6.228571428571429,33.39868730260244,32.79890608371259,33.80240661368499,44996846.43657426,0.0,-11290322.580645144,110902220.72295752,-167904.36346683963,102.09729853852397,54707627.112032965,-0.0015117007352613901,49503339.06902058,0.0,0.0,99300853.42377095,-151857.35597224534,102.50771164204846,49881940.41682269,-0.0015269302845707447,55188876.455911405,0.0,0.0,99415045.59613921,-135162.21972888324,-0.009043340722799414,44302216.72442874,-0.0013577261639565914,-0.0014629876820698912,0.0,7.37499999559077e-05,1.9666999946821306e-05,9.999999997489795e-05,0.00019700000001421358,0.0013102079999498528,0.00026675000003706373,0.0007408330000089336,0.0027082079998876907,0.0
3,3.0,99.34,-2796.621972902445,0.00402920527757085,-1.3734531581291602,598807.9838452117,0.0,49999999.99999998,0.0,0.0,31.0,34.0,35.0,102.93131692638596,102.93131692638596,6.228571428571429,33.39930546149613,32.80001969438071,33.80067484412311,45148580.0249043,0.0,-11290322.580645144,110994796.12925239,92575.40629480203,102.70720500061687,54831094.92201107,0.0008347743980155478,49797530.25327022,0.0,0.0,99385279.4858433,84426.06207232177,102.93131692638596,49839011.680315234,0.0008502047984626028,54780133.98337745,0.0,0.0,99491093.18034014,76047.5842009736,-0.001372562993357361,44934561.72248401,0.0007649497228963778,0.000815582097875837,0.0,5.858299999772498e-05,1.9667000003664725e-05,0.00010149999997111081,0.00020012500004895628,0.001528291999989051,0.0002779999999802385,0.000658915999963483,0.0028450829999542293,0.0
