,Gen,Price,Mismatch,LogP,Num_TF,Num_VI,Num_NT,Mean_TF,Mean_VI,Mean_NT,Mean_W,Wealth_TF,Wealth_VI,Wealth_NT,MeanF,Div,RDiv,Rep
0,0,2.0,171.8665880236821,0.3010299956639812,7,86,7,3.7142857142857144,15.476744186046512,18.0,22.22499252698685,26.868348261479206,23.005348792968565,7.994402667576283,-0.05711434147399469,1.0015977458043415,0.40193218432987726,0
1,1,4.0,415.98607300442603,0.6020599913279624,6,94,0,2.6666666666666665,16.04255319148936,0.0,27.50212874002429,0.0,29.257583765983288,0.0,-0.12095501500287993,0.9968910443221961,-1.2640813221430964,7
2,2,8.0,218.68220198084634,0.9030899869919435,14,83,3,3.2142857142857144,15.036144578313253,14.0,29.606845367398865,0.0,35.67089803301068,0.0,-0.170366239071632,1.002979189379188,1.5950035910197597,6
3,3,10.343481737248787,-0.00493981876857319,1.0146667519833446,16,78,6,5.6875,14.564102564102564,13.666666666666666,11.609154966407765,0.0,14.883532008215083,0.0,-0.08173048026328983,0.9987528851747303,-1.1356452502281937,17
4,4,11.393429721593785,-0.0016276317514887229,1.056654477806006,31,65,4,5.129032258064516,15.538461538461538,17.0,5.047607759695644,0.0,7.76555039953176,0.0,-0.03972263602577985,0.9960429382276111,-0.7386714687546384,22
5,5,22.78685944318757,4.802358820008174,1.3576844734699873,61,33,6,5.081967213114754,16.515151515151516,17.0,8.200345239040065,7.213400988810822,9.697414625277736,10.000396825396825,-0.0647934119121084,1.0061410445401013,2.661530293736842,7
6,6,45.57371888637514,3.3426708602586643,1.6587144691339686,65,30,5,5.030769230769231,15.833333333333334,17.0,10.000686522108987,10.000573877599475,10.00091272780761,10.00079366654069,-0.07860113413756314,1.009435279380638,0.8454612957551038,0
7,7,91.14743777275028,1.709434221698876,1.9597444647979496,53,41,6,5.188679245283019,15.75609756097561,17.0,10.001261963027165,10.0011306205052,10.00144220183775,10.001190523432216,-0.07770615262154161,1.0174854763902448,2.089182116221387,0
8,8,182.29487554550056,-2.3646141601866764,2.260774460461931,34,63,3,5.205882352941177,15.253968253968255,17.0,10.001865221566543,10.001575723347331,10.002034688486157,10.001587396072036,-0.07677962211684601,1.0188314792760638,0.3292073695647934,0
9,9,363.0128545384706,-0.44065784851104034,2.559922003979036,5,93,2,4.4,15.268817204301076,17.0,10.002516143566144,10.00198428446077,10.002556175971925,10.00198428446077,-0.07579148502220918,1.011075465630951,-2.0349110991417874,0
10,10,726.0257090769412,-0.6199418346300883,2.8609519996430173,0,100,0,0.0,15.21,0.0,10.003111534424422,0.0,10.003111534424422,0.0,-0.0748983821308705,1.0125653740848626,0.3690830595730151,0
11,11,1452.0514181538824,-0.34444718775041494,3.161981995306998,0,100,0,0.0,15.21,0.0,10.00357199551732,0.0,10.00357199551732,0.0,-0.0742153295959662,1.013499025426176,0.223163912168678,0
12,12,2898.803227858135,-0.17254641094426323,3.462218736239519,0,100,0,0.0,15.25,0.0,10.003968962660004,0.0,10.003968962660004,0.0,-0.07363178751693145,1.0107942141700597,-0.7268858303528906,0
13,13,5759.394481796701,-0.0868491262068226,3.7603768259513646,0,100,0,0.0,15.12,0.0,10.004365945555376,0.0,10.004365945555376,0.0,-0.07305285852519663,1.0046213685187937,-1.6365324166244604,0
14,14,11510.470858568426,-0.04345767379482924,4.0610930896676205,0,100,0,0.0,15.15,0.0,10.004762944204002,0.0,10.004762944204002,0.0,-0.07247850615381692,1.0045076402918036,-0.05074286615506609,0
15,15,22293.609456912305,-0.022438634119310737,4.348180388817339,0,100,0,0.0,15.11,0.0,10.005159958606553,0.0,10.005159958606553,0.0,-0.07190869422412144,1.0062536839075271,0.4390950933343895,0
16,16,42602.21509342978,-0.011742534903782497,4.629432180742237,0,100,0,0.0,15.15,0.0,10.005556988763624,0.0,10.005556988763624,0.0,-0.07134338684343694,1.0053864435835433,-0.24881585228371847,0
17,17,83788.98765058511,-0.005970687359221552,4.923186943250115,0,100,0,0.0,15.11,0.0,10.00595403467591,0.0,10.00595403467591,0.0,-0.07078254840282396,0.997873547879973,-1.9978675789836007,0
18,18,167560.7982874536,-0.002985768191861597,5.224172420745103,0,100,0,0.0,15.15,0.0,10.006351096343913,0.0,10.006351096343913,0.0,-0.07022614357483727,0.9993777247307709,0.3780242289889841,0
19,19,334012.8701748249,-0.0014978990317192108,5.523763201357133,0,100,0,0.0,15.2,0.0,10.006748173768408,0.0,10.006748173768408,0.0,-0.06967413731129767,0.9971181250616737,-0.6189977489071787,0
20,20,664905.4422268977,-0.0007524940794778493,5.8227598876505,0,100,0,0.0,15.18,0.0,10.007145266949896,0.0,10.007145266949896,0.0,-0.06912649484108618,0.9930348292265424,-1.1042525511552252,0
21,21,1280091.563408115,-0.0003908761510897926,6.107241035320264,0,100,0,0.0,15.18,0.0,10.007542375889074,0.0,10.007542375889074,0.0,-0.06858318166795316,0.994068190514177,0.2545277230787358,0
22,22,2554702.4837741256,-0.00019586512401053912,6.407340330232513,0,100,0,0.0,15.18,0.0,10.007939500586524,0.0,10.007939500586524,0.0,-0.06804416356834514,0.9960880677781941,0.5168066008515851,0
23,23,5041366.24075138,-9.925820722652852e-05,6.7025482488286965,0,100,0,0.0,15.19,0.0,10.008336641042886,0.0,10.008336641042886,0.0,-0.06750940658925027,0.9948087067919889,-0.36060806086565517,0
24,24,9777070.85657824,-5.118269463245756e-05,6.990208762623635,0,100,0,0.0,15.22,0.0,10.00873379725877,0.0,10.00873379725877,0.0,-0.06697887704605775,0.9955532150904401,0.1772146680492142,0
25,25,19409009.738771293,-2.5783731194862142e-05,7.288003377945901,0,100,0,0.0,15.2,0.0,10.009130969234887,0.0,10.009130969234887,0.0,-0.06645254152043824,0.9991365289211059,0.9314987356041184,0
