,Gen,Price,Mismatch,LogP,Num_TF,Num_VI,Num_NT,Mean_TF,Mean_VI,Mean_NT,Mean_W,Wealth_TF,Wealth_VI,Wealth_NT,MeanF,Div,RDiv,Rep
0,0,2.0,259.93097073063973,0.3010299956639812,54,35,11,6.5,14.771428571428572,15.0,24.095603506875182,26.13643554207725,25.99903506729174,8.020600369103045,-0.07190172206591634,0.9950483204226518,-1.3308828947026716,0
1,1,4.0,11.14930794646736,0.6020599913279624,59,41,0,6.4576271186440675,14.853658536585366,0.0,40.494434257455296,42.092096727794534,38.19535899525972,0.0,-0.21396329947384068,1.0001187115594328,1.327383509709304,11
2,2,5.054509003981786,0.0027260869652838693,0.703678974522876,61,39,0,6.491803278688525,14.76923076923077,0.0,53.09184828320762,55.20374685313643,49.78862231485733,0.0,-0.311855806734609,0.999576617846499,-0.16419911237311371,6
3,3,6.073981706188389,-0.001692472925014954,0.7834734795622597,63,37,0,6.492063492063492,14.81081081081081,0.0,59.84738306281042,69.17744091399213,43.961068343230934,0.0,-0.36279378069521095,0.9978995540275128,-0.4646889393131738,4
4,4,5.824727135562104,-0.013741842625469403,0.7652755852696715,80,20,0,6.475,14.1,0.0,53.55370231072427,61.42700147742987,22.060505643901834,0.0,-0.3424261494844651,0.9985997390450215,0.16484985136119334,28
5,5,6.289491689909159,0.0021477032990748768,0.798615547641143,91,7,2,6.483516483516484,15.571428571428571,13.0,61.13905200062323,67.1857714292563,0.0,0.0,-0.4115567447651391,0.9965588075858477,-0.561528502460352,20
6,6,7.210110154557518,-0.005209821470087306,0.8579418998305308,93,4,3,6.483870967741935,19.0,16.666666666666668,75.97164155197896,81.68993715266555,0.0,0.0,-0.5255565570897613,0.9919040637180141,-1.2565736541846517,9
7,7,9.163826060441123,-0.01881890519441498,0.9620768372057573,95,4,1,6.442105263157894,17.75,11.0,97.32377976750011,102.44608396578958,0.0,0.0,-0.6901929206752833,0.9921294758010298,0.03933357988627825,7
8,8,12.396725452385263,0.013050189405596768,1.0933069830842685,99,1,0,6.3232323232323235,20.0,0.0,127.81641257999343,129.1074874545388,0.0,0.0,-0.9257844070860475,0.9859548955728741,-1.6673915996960142,5
9,9,17.65490156197071,-0.008010551017703094,1.2468653004200951,99,1,0,6.3232323232323235,18.0,0.0,173.01702282407211,174.76466951926477,0.0,0.0,-1.2757816578943098,0.9812465051896634,-1.2842601720015534,1
