,Gen,Price,Mismatch,LogP,Num_TF,Num_VI,Num_NT,Mean_TF,Mean_VI,Mean_NT,Mean_W,Wealth_TF,Wealth_VI,Wealth_NT,MeanF,Div,RDiv,Rep
0,0,2.0,33.580138340718534,0.3010299956639812,7,2,1,7.0,19.0,15.0,24.198184751341536,25.56935053698238,27.496927920663097,8.002537913212485,-0.07271263781474183,0.9995639343952909,-0.13616373586550462,0
1,1,3.3643532896019486,0.0006658864696458267,0.5269015946373048,8,2,0,6.75,19.0,0.0,36.28243642015285,34.290615484929184,44.24972016104749,0.0,-0.17947907657016857,1.003002023453653,0.8892380746929318,1
2,2,5.2505080603871,0.001194372644631514,0.7202013295291682,8,2,0,6.75,19.0,0.0,50.602430698515114,51.219605618773436,48.133731017481836,0.0,-0.29126136711742034,1.004534318090513,0.38340203427844555,0
3,3,6.845114479379473,-0.001137824148230493,0.8353807157785622,10,0,0,6.9,0.0,0.0,54.99045358305365,54.99045358305365,0.0,0.0,-0.3482925450281699,1.0120386712988532,1.955711518693414,2
4,4,10.35425664027224,-0.0009909409330965957,1.0151189251883102,10,0,0,7.8,0.0,0.0,84.027742481667,84.027742481667,0.0,0.0,-0.5750821407494822,1.0131435409280227,0.2680521109153336,2
5,5,17.168798133648778,4.662489057949415e-05,1.234739894334277,10,0,0,8.0,0.0,0.0,131.45126286352826,131.45126286352826,0.0,0.0,-0.9454240738700836,1.016922248884928,0.9659907177222951,0
6,6,31.891720170059358,0.00045173261117525954,1.5036779447750053,10,0,0,8.1,0.0,0.0,222.7025196570472,222.7025196570472,0.0,0.0,-1.6593013751652983,1.0098352088205955,-1.8646440458709166,0
7,7,55.42535758479752,-0.0001330151946987712,1.7437085037099072,10,0,0,6.7,0.0,0.0,360.88715468516364,360.88715468516364,0.0,0.0,-2.73919563851796,1.007674528227446,-0.5868863130351106,3
8,8,99.10643187525247,-6.732854199498206e-05,1.9961018405325694,8,2,0,7.875,14.0,0.0,588.1096075491662,735.1370094364577,0.0,0.0,-4.513759883460914,1.0097993509224226,0.537102051036345,3
9,9,110.32220220027945,-2.1143761379960324e-05,2.0426629224379504,8,2,0,7.75,19.0,0.0,643.716404502673,804.6455056283412,0.0,0.0,-4.917655825949739,1.0105455284175815,0.17471257307401447,2
